row_index,title,year,authors,journal,cited_by,link,is_replication,confidence,reasoning
0,Evaluating replicability of laboratory experiments in economics,2016,"CF Camerer, A Dreber, E Forsell, TH Ho, J Huber","CF Camerer, A Dreber, E Forsell, TH Ho, J Huber… - Science, 2016 - science.org",1596,https://www.science.org/doi/abs/10.1126/science.aaf0918,True,low,"One moderate signal; might be incidental use of ""replicate"". (a_mod=1)"
1,"The economic burden of prescription opioid overdose, abuse, and dependence in the United States, 2013",2016,C Zhou,"CS Florence, C Zhou, F Luo, L Xu - Medical care, 2016 - journals.lww.com",1578,https://journals.lww.com/lww-medicalcare/fulltext/2016/10000/The_Economic_Burden_of_Prescription_Opioid.2.aspx?utm_campaign=Rx+Summit&utm_source=hs_email&utm_medium=email&utm_content=37802781&_hsenc=p2...,True,low,"One moderate signal; might be incidental use of ""replicate"". (a_mod=1)"
2,Can war foster cooperation?,2016,"M Bauer, C Blattman, J Chytilová, J Henrich","M Bauer, C Blattman, J Chytilová, J Henrich… - Journal of Economic …, 2016 - aeaweb.org",1004,https://www.aeaweb.org/articles?id=10.1257/jep.30.3.249,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
3,Pushing on a string: US monetary policy is less powerful in recessions,2016,"S Tenreyro, G Thwaites","S Tenreyro, G Thwaites - American Economic Journal …, 2016 - aeaweb.org",713,https://www.aeaweb.org/articles?id=10.1257/mac.20150016,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
4,Poverty and economic decision-making: Evidence from changes in financial resources at payday,2016,"LS Carvalho, S Meier, SW Wang","LS Carvalho, S Meier, SW Wang - American economic review, 2016 - aeaweb.org",698,https://www.aeaweb.org/articles?id=10.1257%2Faer.20140481&source=post_page---------------------------,False,high,No replication signals found in title or abstract.
5,Other-regarding preferences,2016,"DJ Cooper, JH Kagel","DJ Cooper, JH Kagel - The handbook of experimental economics, 2016 - degruyter.com",683,https://www.degruyter.com/document/doi/10.1515/9781400883172-005/pdf?licenseType=restricted,False,high,No replication signals found in title or abstract.
6,Dynamic effects of teacher turnover on the quality of instruction,2016,"EA Hanushek, JC Schiman","EA Hanushek, SG Rivkin, JC Schiman - Economics of Education Review, 2016 - Elsevier",480,https://www.sciencedirect.com/science/article/pii/S027277571530087X,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
7,Examination of the synthetic control method for evaluating health policies with multiple treated units,2016,"N Kreif, R Grieve, D Hangartner","N Kreif, R Grieve, D Hangartner, AJ Turner… - … economics, 2016 - Wiley Online Library",424,https://onlinelibrary.wiley.com/doi/abs/10.1002/hec.3258,True,high,Abstract has strong replication signal. (a_strong=1)
8,Heaping‐induced bias in regression‐discontinuity designs,2016,"AI Barreca, JM Lindo, GR Waddell","AI Barreca, JM Lindo, GR Waddell - Economic inquiry, 2016 - Wiley Online Library",365,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12225,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
9,Social vulnerability to natural hazards in Brazil,2016,"BM de Loyola Hummell, SL Cutter","BM de Loyola Hummell, SL Cutter… - International Journal of …, 2016 - Springer",356,https://link.springer.com/article/10.1007/s13753-016-0090-9,True,high,Abstract has strong replication signal. (a_strong=1)
10,Government quality and the economic returns of transport infrastructure investment in European regions,2016,"R Crescenzi, M Di Cataldo","R Crescenzi, M Di Cataldo… - Journal of Regional …, 2016 - Wiley Online Library",327,https://onlinelibrary.wiley.com/doi/abs/10.1111/jors.12264,False,medium,"Replication language appears incidental (method step, table/figure reproduction, own results)."
11,The realization effect: Risk-taking after realized versus paper losses,2016,A Imas,"A Imas - American Economic Review, 2016 - aeaweb.org",323,https://www.aeaweb.org/articles?id=10.1257/aer.20140386,True,high,Abstract has strong replication signal. (a_strong=1)
12,A theoretical and experimental appraisal of four risk elicitation methods,2016,"P Crosetto, A Filippin","P Crosetto, A Filippin - Experimental Economics, 2016 - Springer",298,https://link.springer.com/article/10.1007/s10683-015-9457-9,True,high,Abstract has strong replication signal. (a_strong=1)
13,Revisiting the corporate social performance‐financial performance link: A replication of W addock and G raves,2016,"X Zhao, AJ Murrell","X Zhao, AJ Murrell - Strategic Management Journal, 2016 - Wiley Online Library",297,https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.2579,True,high,"Title contains explicit replication indicator. (t_strong=2, a_strong=1)"
14,Aid on demand: African leaders and the geography of China's foreign assistance,2016,"A Dreher, A Fuchs, R Hodler, B Parks","A Dreher, A Fuchs, R Hodler, B Parks… - Centro Studi Luca d' …, 2016 - papers.ssrn.com",253,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2900351,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
15,An exploration of the importance of the strategy used to identify gentrification,2016,M Barton,"M Barton - Urban Studies, 2016 - journals.sagepub.com",211,https://journals.sagepub.com/doi/abs/10.1177/0042098014561723,False,high,No replication signals found in title or abstract.
16,Evolving choice inconsistencies in choice of prescription drug insurance,2016,"J Abaluck, J Gruber","J Abaluck, J Gruber - American Economic Review, 2016 - aeaweb.org",208,https://www.aeaweb.org/articles?id=10.1257/aer.20130778,True,high,Abstract has strong replication signal. (a_strong=1)
17,Manufacturing and economic development: The actuality of Kaldor's first and second laws,2016,"N Marconi, CF de Borja Reis","N Marconi, CF de Borja Reis, EC De Araujo - … Change and Economic …, 2016 - Elsevier",192,https://www.sciencedirect.com/science/article/pii/S0954349X15000788,False,high,No replication signals found in title or abstract.
18,Entrepreneurial finance and technology transfer,2016,"DB Audretsch, EE Lehmann, S Paleari","DB Audretsch, EE Lehmann, S Paleari… - The Journal of …, 2016 - Springer",182,https://link.springer.com/article/10.1007/s10961-014-9381-8,True,low,"Weak evidence: strong signal competes with negative signal. (a_strong=1, a_neg=1)"
19,Reinquiry into advertising avoidance on the internet: A conceptual replication and extension,2016,"Z Seyedghorban, H Tahernejad","Z Seyedghorban, H Tahernejad… - Journal of …, 2016 - Taylor & Francis",172,https://www.tandfonline.com/doi/abs/10.1080/00913367.2015.1085819,True,high,"Title contains explicit replication indicator. (t_strong=2, a_strong=2)"
20,Not-so-strong evidence for gender differences in risk taking,2016,JA Nelson,"JA Nelson - Feminist Economics, 2016 - Taylor & Francis",169,https://www.tandfonline.com/doi/abs/10.1080/13545701.2015.1057609,False,high,No replication signals found in title or abstract.
21,"Language, culture and institutions: Evidence from a new linguistic dataset",2016,LS Davis,"LS Davis, F Abdurazokzoda - Journal of Comparative Economics, 2016 - Elsevier",166,https://www.sciencedirect.com/science/article/pii/S0147596715000992,False,high,No replication signals found in title or abstract.
22,Mineral economics and policy,2016,JE Tilton,"JE Tilton, JI Guzmán - 2016 - taylorfrancis.com",152,https://www.taylorfrancis.com/books/mono/10.4324/9781315733708/mineral-economics-policy-john-tilton-juan-ignacio-guzm%C3%A1n,True,low,"One moderate signal; might be incidental use of ""replicate"". (a_mod=1)"
23,Prosocial behavior increases with age across five economic games,2016,"Y Li, T Kiyonari","Y Matsumoto, T Yamagishi, Y Li, T Kiyonari - PloS one, 2016 - journals.plos.org",142,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158671,True,high,Abstract has strong replication signal. (a_strong=1)
24,Macropsychological factors predict regional economic resilience during a major economic crisis,2016,"M Obschonka, M Stuetzer","M Obschonka, M Stuetzer… - Social …, 2016 - journals.sagepub.com",142,https://journals.sagepub.com/doi/abs/10.1177/1948550615608402,False,high,No replication signals found in title or abstract.
25,The effects of endowment size and strategy method on third party punishment,2016,"J Jordan, K McAuliffe, D Rand","J Jordan, K McAuliffe, D Rand - Experimental Economics, 2016 - Springer",141,https://link.springer.com/article/10.1007/s10683-015-9466-8,True,low,"One moderate signal; might be incidental use of ""replicate"". (a_mod=1)"
26,Economic freedom and economic crises,2016,C Bjørnskov,"C Bjørnskov - European Journal of Political Economy, 2016 - Elsevier",138,https://www.sciencedirect.com/science/article/pii/S0176268016301082,False,high,No replication signals found in title or abstract.
27,Decentralization and economic growth reconsidered: The role of regional authority,2016,"A Filippetti, A Sacchi","A Filippetti, A Sacchi - Environment and Planning C …, 2016 - journals.sagepub.com",135,https://journals.sagepub.com/doi/abs/10.1177/0263774x16642230,False,high,No replication signals found in title or abstract.
