title,year,authors,journal,cited_by,link,classifier_confidence,replicated_paper,method_description,result_description
Evaluating replicability of laboratory experiments in economics,2016,"CF Camerer, A Dreber, E Forsell, TH Ho, J Huber","CF Camerer, A Dreber, E Forsell, TH Ho, J Huber… - Science, 2016 - science.org",1596,https://www.science.org/doi/abs/10.1126/science.aaf0918,low,Not identifiable from abstract,laboratory experiment,Result not specified in abstract
"The economic burden of prescription opioid overdose, abuse, and dependence in the United States, 2013",2016,C Zhou,"CS Florence, C Zhou, F Luo, L Xu - Medical care, 2016 - journals.lww.com",1578,https://journals.lww.com/lww-medicalcare/fulltext/2016/10000/The_Economic_Burden_of_Prescription_Opioid.2.aspx?utm_campaign=Rx+Summit&utm_source=hs_email&utm_medium=email&utm_content=37802781&_hsenc=p2...,low,"Birnbaum et al. (2011): ""Societal costs of prescription opioid abuse and dependence in the Unit""",… We replicated the calculation procedures by Birnbaum and colleagues to estimate the proportions of these 3 components attributab,Result not specified in abstract
Can war foster cooperation?,2016,"M Bauer, C Blattman, J Chytilová, J Henrich","M Bauer, C Blattman, J Chytilová, J Henrich… - Journal of Economic …, 2016 - aeaweb.org",1004,https://www.aeaweb.org/articles?id=10.1257/jep.30.3.249,medium,Not identifiable from abstract,"… We replicate each study's original research design, taking the study's identification strategy, measure of violence exposure, co","… We replicate each study's original research design, taking the study's identification strategy, measure of violence exposure, control variables, and"
Pushing on a string: US monetary policy is less powerful in recessions,2016,"S Tenreyro, G Thwaites","S Tenreyro, G Thwaites - American Economic Journal …, 2016 - aeaweb.org",713,https://www.aeaweb.org/articles?id=10.1257/mac.20150016,medium,"Tenreyro et al. (2016): ""Pushing on a String: US Monetary Policy Is Less Powerful in Recessions""","… When estimated linearly over a common sample, we replicate the results exactly","… When estimated linearly over a common sample, we replicate the results exactly"
Dynamic effects of teacher turnover on the quality of instruction,2016,"EA Hanushek, JC Schiman","EA Hanushek, SG Rivkin, JC Schiman - Economics of Education Review, 2016 - Elsevier",480,https://www.sciencedirect.com/science/article/pii/S027277571530087X,medium,Not identifiable from abstract,Method not specified in abstract,"… After taking more extensive steps to account for nonrandom sorting of students into classrooms and endogenous teacher exits and grade-switching, we "
Examination of the synthetic control method for evaluating health policies with multiple treated units,2016,"N Kreif, R Grieve, D Hangartner","N Kreif, R Grieve, D Hangartner, AJ Turner… - … economics, 2016 - Wiley Online Library",424,https://onlinelibrary.wiley.com/doi/abs/10.1002/hec.3258,high,Not identifiable from abstract,"… We replicate the original analysis in considering all the incentivised conditions aggregated, and then disaggregated by conditio","… We replicate the original analysis in considering all the incentivised conditions aggregated, and then disaggregated by condition (pneumonia, acute "
Heaping‐induced bias in regression‐discontinuity designs,2016,"AI Barreca, JM Lindo, GR Waddell","AI Barreca, JM Lindo, GR Waddell - Economic inquiry, 2016 - Wiley Online Library",365,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12225,medium,Not identifiable from abstract,Method not specified in abstract,"… To illustrate this issue, we replicate ADKW's analysis of the 1,500-g cutoff while also considering placebo cutoffs of 1, 000, 1, 100, …, 3, 000 g"
Social vulnerability to natural hazards in Brazil,2016,"BM de Loyola Hummell, SL Cutter","BM de Loyola Hummell, SL Cutter… - International Journal of …, 2016 - Springer",356,https://link.springer.com/article/10.1007/s13753-016-0090-9,high,"Cutter et al. (2013): ""The Social Vulnerability Index (SoVI): A New Tool for Disaster Risk Re""; Cutter et al. (2003): ""Social Vulnerability to Environmental Hazards""",Method not specified in abstract,Result not specified in abstract
The realization effect: Risk-taking after realized versus paper losses,2016,A Imas,"A Imas - American Economic Review, 2016 - aeaweb.org",323,https://www.aeaweb.org/articles?id=10.1257/aer.20140386,high,"Imas & Alex (2016): ""The Realization Effect: Risk-Taking after Realized versus Paper Losses""",Method not specified in abstract,Result not specified in abstract
A theoretical and experimental appraisal of four risk elicitation methods,2016,"P Crosetto, A Filippin","P Crosetto, A Filippin - Experimental Economics, 2016 - Springer",298,https://link.springer.com/article/10.1007/s10683-015-9457-9,high,"Crosetto et al. (2013): ""A theoretical and experimental appraisal of four risk elicitation meth""; Charness et al. (2011): ""The effect of risk on the decision to participate in a lottery""; Harrison & W. (1990): ""Risk aversion and the Becker-DeGroot-Marschak mechanism""",Method not specified in abstract,Result not specified in abstract
Revisiting the corporate social performance‐financial performance link: A replication of W addock and G raves,2016,"X Zhao, AJ Murrell","X Zhao, AJ Murrell - Strategic Management Journal, 2016 - Wiley Online Library",297,https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.2579,high,"Waddock et al. (1997): ""The Corporate Social Performance-Financial Performance Link""",Method not specified in abstract,Result not specified in abstract
Aid on demand: African leaders and the geography of China's foreign assistance,2016,"A Dreher, A Fuchs, R Hodler, B Parks","A Dreher, A Fuchs, R Hodler, B Parks… - Centro Studi Luca d' …, 2016 - papers.ssrn.com",253,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2900351,medium,Not identifiable from abstract,Method not specified in abstract,"… However, when we replicate the analysis for the World Bank, our regressions show no … We include nighttime light intensity as a proxy for economic a"
Evolving choice inconsistencies in choice of prescription drug insurance,2016,"J Abaluck, J Gruber","J Abaluck, J Gruber - American Economic Review, 2016 - aeaweb.org",208,https://www.aeaweb.org/articles?id=10.1257/aer.20130778,high,"Ketcham et al. (2012): ""The Effect of Medicare Part D on Prescription Drug Use and Spending""","… We are unable to replicate KLMR's results in our data so we cannot say for sure what drives … Further, while we do replicate the",unable to replicate
Entrepreneurial finance and technology transfer,2016,"DB Audretsch, EE Lehmann, S Paleari","DB Audretsch, EE Lehmann, S Paleari… - The Journal of …, 2016 - Springer",182,https://link.springer.com/article/10.1007/s10961-014-9381-8,low,Not identifiable from abstract,new/different dataset,Result not specified in abstract
Reinquiry into advertising avoidance on the internet: A conceptual replication and extension,2016,"Z Seyedghorban, H Tahernejad","Z Seyedghorban, H Tahernejad… - Journal of …, 2016 - Taylor & Francis",172,https://www.tandfonline.com/doi/abs/10.1080/00913367.2015.1085819,high,"Cho et al. (2004): ""Advertising avoidance on the Internet: A model of antecedents and cons""",Method not specified in abstract,replicates and extends original
Mineral economics and policy,2016,JE Tilton,"JE Tilton, JI Guzmán - 2016 - taylorfrancis.com",152,https://www.taylorfrancis.com/books/mono/10.4324/9781315733708/mineral-economics-policy-john-tilton-juan-ignacio-guzm%C3%A1n,low,"Sachs et al. (1995): ""Natural Resource Abundance and Economic Growth""",Method not specified in abstract,Result not specified in abstract
Prosocial behavior increases with age across five economic games,2016,"Y Li, T Kiyonari","Y Matsumoto, T Yamagishi, Y Li, T Kiyonari - PloS one, 2016 - journals.plos.org",142,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158671,high,"Lange et al. (2012): ""Age and prosocial behavior: A meta-analysis""",Method not specified in abstract,fails to replicate; directional effect found
